Term,Estimate,Std. Error,t value,Pr(>|t|),stars
MIN_YEARS_EXPERIENCE_NUM,5511.505455790201,105.17779154029586,52.40179865992552,0.0,***
Python_Programming_Language,13085.650991349874,747.7070836773707,17.501039213099418,0.0,***
SQL_Programming_Language,4365.873577611061,705.574952667904,6.1876822031492456,6.288121134900848e-10,***
Microsoft_Excel,-14697.890696264021,675.5787031563669,-21.756000637074703,0.0,***
Data_Analysis,-6231.043684093976,763.6683515682026,-8.159358275484964,4.440892098500626e-16,***
Machine_Learning,9371.088009762505,1073.225360629022,8.731705710224803,0.0,***
Power_BI,-5536.336721807112,734.9340814674348,-7.533106521271634,5.284661597215745e-14,***
Tableau_Business_Intelligence_Software,-1243.1372382235588,717.3155980428892,-1.7330408562358213,0.08311202244215976,.
Communication,3608.0609150838577,608.989243014505,5.924671012617411,3.2080695877567678e-09,***
encoded_category_0,1145.9948696775155,2015.4453071033397,0.5686062854886271,0.5696331396610206,
encoded_category_1,4971.8648574458175,2072.7976867637844,2.398625244129969,0.01647069031600501,*
encoded_category_2,7309.5459787087,2441.0121229444494,2.994473444028465,0.002754343340485299,**
encoded_category_3,27110.191621397473,1929.2308918244237,14.052331287189823,0.0,***
encoded_category_4,27892.89695817762,2096.4739891259087,13.304671130123163,0.0,***
encoded_category_5,25033.841986111947,2048.762961664973,12.219003591204928,0.0,***
Intercept,58868.81253451851,2674.386103354319,22.012084366084224,0.0,***
