Feature,Importance
MIN_YEARS_EXPERIENCE_NUM,0.46016427426852974
Microsoft_Excel,0.10047455359133155
Python,0.0735135906718054
SQL,0.042089632008882626
Power_BI,0.04090013030608375
encoded_category_1,0.040106686401608437
Tableau,0.03979794690100889
Communication,0.036111830214310435
Machine_Learning,0.03385444925445019
Data_Analysis,0.03277029978343693
encoded_category_0,0.031082978624782376
encoded_category_3,0.020834837745108106
encoded_category_4,0.01687230342787632
encoded_category_2,0.015987359782427685
encoded_category_5,0.015439127018357568
