skill,count
SQL (Programming Language),37655
Data Analysis,26250
Communication,26124
Python (Programming Language),22140
Dashboard,21607
Microsoft Excel,18425
SAP Applications,18318
Leadership,15968
Management,14198
Project Management,13350
"
  Power BI",13315
Business Process,13070
Business Requirements,12900
Operations,12537
Microsoft PowerPoint,12090
Finance,12074
"Tableau (Business Intelligence Software)
",11987
Tableau (Business Intelligence Software),11499
"Problem Solving
",11410
"R (Programming Language)
",11289
